"name","citationCount","citerCount"
"Chuan Ju","0","0"
"Chuanhai Liu","4","3"
"Chuanhua Xing","1","2"
"Chun-Lung Su","0","0"
"Chun-Shu Chen","2","7"
"Chun Li","1","2"
"Chunfang Jin","0","0"
"Chunfeng Huang","1","2"
"Chung-Ming Kuan","0","0"
"Chunjie Wu","0","0"
"Chunlei Ke","1","2"
"Chunling Liu","0","0"
"Chunming Zhang","20","30"
"Ci-Ren Jiang","1","2"
"Cindy Long Yu","0","0"
"Cinzia Carota","0","0"
"Ciprian A Tudor","1","2"
"Ciprian M Crainiceanu","23","47"
"Claire E Pothier","0","0"
"Claire Tomlin","0","0"
"Claudia Czado","1","2"
"Claudia Kirch","1","3"
"Claudia Kluppelberg","0","0"
"Claudia R Sahm","0","0"
"Claudia Tarantola","0","0"
"Claudia Tebaldi","0","0"
"Clayton Scott","1","2"
"Clifford Lam","20","40"
"Clifford M Hurvich","2","3"
"Clint Scovel","5","11"
"Clive G Bowsher","0","0"
"Colin Hall","1","4"
"Colin M Beale","0","0"
"Colin M Gallagher","0","0"
"Conor Lawless","0","0"
"Constantine E Frangakis","8","20"
"Cosma Rohilla Shalizi","0","0"
"Craig J Johns","3","7"
"Craig W Hendrix","0","0"
"Cristiano Varin","6","18"
"Cristina Butucea","0","0"
"Cristina Rueda","0","0"
"Cristina Sotto","0","0"
"Crystal J Scott","0","0"
"Cun-Hui Zhang","75","100"
"Curtis Tatsuoka","0","0"
"Cynthia Rudin","0","0"
"Cyr Emile MLan","0","0"
"Cyrus Mehta","4","9"
"D A S Fraser","10","9"
"D Azriel","0","0"
"D C Woods","0","0"
"D Campbell","9","17"
"D Chauveau","0","0"
"D F Signorini","2","5"
"D Haziza","0","0"
"D J Fletcher","0","0"
"D Kuang","2","3"
"D M Farewell","0","0"
"D M Titterington","1","2"
"D Magirr","0","0"
"D Mastropietro","1","2"
"D Mikis Stasinopoulos","4","12"
"D Nicolae","5","4"
"D P Kroese","0","0"
"D Pati","0","0"
"D R Cox","21","41"
"D S Choi","0","0"
"D Sadykova","0","0"
"D V Hinkley","2","4"
"D Vogel","0","0"
"D Walsh","3","12"
"Dabao Zhang","0","0"
"Dacheng Xiu","1","3"
"Dag Johan Steinskog","0","0"
"Dag Tjostheim","4","6"
"Dai Feng","0","0"
"Dale L Zimmerman","4","12"
"Dalho Kim","1","3"
"Damaraju Raghavarao","1","2"
"Damla Senturk","7","8"
"Dan Black","0","0"
"Dan Cornford","0","0"
"Dan Geiger","2","4"
"Dan J Spitzner","0","0"
"Dan Nettleton","0","0"
"Dan Yu Lin","59","74"
"Dandan Jiang","0","0"
"Dandan Liu","0","0"
"Daniel A Henderson","0","0"
"Daniel B Neill","0","0"
"Daniel B Rowe","1","5"
"Daniel Commenges","2","5"
"Daniel Cooley","2","6"
"Daniel E Ho","0","0"
"Daniel Egloff","0","0"
"Daniel Gervini","17","25"
"Daniel J Nordman","5","4"
"Daniel J Sargent","1","4"
"Daniel Krewski","4","11"
"Daniel Merl","0","0"
"Daniel Molefe","1","3"
"Daniel Pena","0","0"
"Daniel Q Naiman","2","3"
"Daniel Rabinowitz","0","0"
"Daniel Scharfstein","2","6"
"Daniel Straumann","4","11"
"Daniel Yekutieli","25","40"
"Daniel Zantedeschi","0","0"
"Daniela M Witten","6","11"
"Daniell Toth","0","0"
"Danilo Mercurio","0","0"
"Dankmar Bohning","1","2"
"Danny Pfeffermann","2","4"
"Dariusz Ucinski","2","5"
"Darren J Wilkinson","0","0"
"Dave Higdon","3","14"
"David A Harville","0","0"
"David A Stephens","8","22"
"David A van Dyk","1","2"
"David B Dahl","3","10"
"David B Hitchcock","0","0"
"David B Matchar","0","0"
"David B Wolfson","8","10"
"David Banks","0","0"
"David Bo Shen","0","0"
"David Caplan","0","0"
"David Causeur","1","2"
"David Cavallini","0","0"
"David Chan","5","12"
"David Clayton","0","0"
"David Conne","0","0"
"David Daniel Smith","8","17"
"David Draper","0","0"
"David Dunson","51","48"
"David E Tyler","0","0"
"David F Layton","0","0"
"David Faraggi","0","0"
"David Firth","1","2"
"David Harris","0","0"
"David I Warton","1","1"
"David J Evans","0","0"
"David J Nott","4","12"
"David J Schwab","0","0"
"David Kraus","1","3"
"David L Donoho","55","78"
"David Lusseau","0","0"
"David M Blei","14","23"
"David M Higdon","0","0"
"David M Holland","2","6"
"David M Kaziska","0","0"
"David M Mankoff","0","0"
"David M Mason","1","2"
"David M Ruth","0","0"
"David M Steinberg","8","13"
"David M Zucker","14","27"
"David Neil Hayes","6","15"
"David Oakes","0","0"
"David Papp","0","0"
"David Pollard","0","0"
"David R Hunter","28","46"
"David Rossell","0","0"
"David Ruppert","35","57"
"David S Matteson","0","0"
"David S Stoffer","3","6"
"David Siegmund","46","71"
"David Sparrow","0","0"
"David Spiegelhalter","0","0"
"David T Jacho-Chavez","0","0"
"David V Glidden","3","10"
"David Vlahov","3","7"
"David W MacFarlane","0","0"
"David Wyncoll","0","0"
"David Y Pee","0","0"
"Davide Ferrari","1","2"
"Davide La Vecchia","0","0"
"Davy Paindaveine","20","15"
"Dawei Xie","1","2"
"Dawit Zerom","4","5"
"Dawn B Woodard","0","0"
"Dean A Follmann","1","2"
"Dean P Foster","6","14"
"Debajyoti Sinha","4","10"
"Debashis Ghosh","0","0"
"Debashis Mondal","2","6"
"Debashis Paul","7","19"
"Debbie J Dupuis","0","0"
"Debopam Bhattacharya","0","0"
"Deborah Burr","4","10"
"Dechang Chen","0","0"
"Dejun Tang","2","6"
"Deli Wang","9","16"
"Denis Belomestny","8","11"
"Denis Heng-Yan Leung","8","14"
"Denis Larocque","2","5"
"Denise Babineau","0","0"
"Dennis Cook","5","10"
"Dennis D Boos","5","13"
"Dennis D Cox","0","0"
"Dennis K J Lin","9","13"
"Dennis Prangle","0","0"
"Dennis Young","0","0"
"Derek A T Cummings","0","0"
"Derek Bingham","6","11"
"Desislava Nedyalkova","0","0"
"Despina Vasileiou","1","4"
"Deyuan Li","2","4"
"Diana J Cole","0","0"
"Diana L Miglioretti","0","0"
"Diana M Sima","0","0"
"Diane Lambert","0","0"
"Diane M Makuc","1","2"
"Dibyen Majumdar","0","0"
"Didier Concordet","0","0"
"Didier Guillemot","0","0"
"Dietrich Braess","0","0"
"Dimitris Fouskakis","0","0"
"Dimitris N Politis","3","6"
"Dimitris Rizopoulos","1","3"
"Dinah Rosenberg","0","0"
"Dinggang Shen","0","0"
"Dinis Pestana","0","0"
"Dipak K Dey","0","0"
"Dixin Zhang","0","0"
"Djalil Chafai","0","0"
"Dmitry Beletsky","0","0"
"Dmitry Panchenko","3","6"
"Do-Hwan Park","1","3"
"Dobrin Marchev","6","12"
"Domenico Marinucci","4","5"
"Dominic Dillane","0","0"
"Dominic Schuhmacher","0","0"
"Dominique Bontemps","1","3"
"Dominique Chouaniere","6","9"
"Dominique Picard","11","23"
"Don Alderson","1","6"
"Don L Stevens Jr","2","7"
"Donald A Berry","2","4"
"Donald A Pierce","0","0"
"Donald B Rubin","19","37"
"Donald Geman","1","1"
"Donald S Burke","0","0"
"Donatello Telesca","1","3"
"Dong Chen","0","0"
"Dong Han","3","8"
"Dong Li","0","0"
"Dong Wang","1","1"
"Dongchu Sun","4","12"
"Donghoh Kim","0","0"
"Dongjun Chung","0","0"
"Donglin Zeng","40","50"
"Dongsheng Tu","0","0"
"Dongyu Lin","0","0"
"Donna Neuberg","3","10"
"Donna P Ankerst","0","0"
"Dorin Drignei","0","0"
"Doug Nychka","0","0"
"Douglas E Schaubel","3","8"
"Douglas G Simpson","0","0"
"Douglas N Midthune","0","0"
"Douglas P Wiens","0","0"
"Douglas W Nychka","13","34"
"Dragi Anevski","2","5"
"Duchwan Ryu","0","0"
"Duncan K H Fong","0","0"
"Dung-Tsa Chen","0","0"
"Dursun A Bulutoglu","2","2"
"Dylan S Small","18","22"
"E A Catchpole","0","0"
"E Andres Houseman","2","4"
"E Benhin","2","3"
"E Diday","0","0"
"E Ferreira","0","0"
"E L Lehmann","19","27"
"E M Airoldi","0","0"
"E Marras","0","0"
"E Moulines","0","0"
"E R Williams","1","2"
"E S Venkatraman","0","0"
"E Saksman","0","0"
"Earl Lawrence","0","0"
"Edgar Kublin","0","0"
"Edsel A Pena","3","8"
"Eduard Belitser","0","0"
"Edward H Ip","0","0"
"Edward I George","4","8"
"Edward J Stanek III","0","0"
"Edward L Ionides","0","0"
"Edward L Korn","1","3"
